source_article_id,similar_article_id,similarity_rank,similarity_score,embedding_model,pipeline_run_id
ART0039,ART0522,1,0.89105701,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0039,ART0316,2,0.76355213,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0039,ART0080,3,0.75346714,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0040,ART0303,1,0.88260788,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0040,ART0031,2,0.87754983,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0040,ART0363,3,0.86761242,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0041,ART0460,1,0.81528527,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0041,ART0032,2,0.7537725,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0041,ART0667,3,0.73397094,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0042,ART0346,1,0.86506736,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0042,ART0137,2,0.86062419,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0042,ART0299,3,0.78721917,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0043,ART0151,1,0.83604717,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0043,ART0705,2,0.80237871,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0043,ART0225,3,0.78503442,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0044,ART0444,1,1.0,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0044,ART0026,2,0.85168797,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0044,ART0047,3,0.84681326,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0045,ART0119,1,0.89559793,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0045,ART0498,2,0.83300775,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0045,ART0038,3,0.8288362,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0046,ART0123,1,0.77713048,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0046,ART0199,2,0.71869212,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0046,ART0615,3,0.68973851,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0047,ART0631,1,1.00000024,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0047,ART0026,2,0.88141525,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0047,ART0454,3,0.85494775,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0048,ART0487,1,1.0000006,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0048,ART0483,2,0.94086713,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0048,ART0241,3,0.89666027,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0049,ART0372,1,0.90402722,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0049,ART0129,2,0.77091455,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0049,ART0057,3,0.73275065,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0050,ART0478,1,0.9999997,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0050,ART0160,2,0.87597805,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0050,ART0325,3,0.8594901,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0051,ART0370,1,1.00000012,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0051,ART0217,2,0.82527012,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0051,ART0092,3,0.79458147,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0052,ART0109,1,0.81219339,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0052,ART0275,2,0.81219339,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0052,ART0494,3,0.81219339,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0053,ART0202,1,1.00000024,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0053,ART0302,2,0.87323183,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0053,ART0351,3,0.87323183,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0054,ART0234,1,0.81851405,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0054,ART0380,2,0.72874963,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0054,ART0707,3,0.68961716,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0055,ART0081,1,0.82811266,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0055,ART0217,2,0.81099707,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0055,ART0048,3,0.80499679,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0056,ART0620,1,1.00000048,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0056,ART0587,2,0.85504466,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
ART0056,ART0068,3,0.82108802,sentence-transformers/all-MiniLM-L6-v2,ebc1fbcf-217e-4416-aefb-b9ece4615d24
